epoch,first_id,second_id
Ox010101,1,983
Ox010201,2,731
Ox010301,3,945
Ox010401,4,924
Ox010701,5,1142
Ox010801,6,606
Ox010901,7,1046
Ox011001,8,1136
Ox011201,9,797
Ox011401,10,1008
Ox011801,11,788
Ox012201,12,1188
Ox012301,13,669
Ox012401,14,795
Ox012501,15,663
Ox012601,16,1110
Ox030201,17,1133
Ox030601,18,881
Ox040201,19,991
Ox040301,20,609
Ox040401,21,794
Ox041101,22,677
Ox041201,23,1044
Ox150401,24,826
Ox160301,25,707
Ox160401,26,906
Ox160501,27,661
Ox160801,28,824
Ox160901,29,655
Ox161001,30,866
Ox161101,31,614
Ox161301,32,637
Ox161401,33,926
Ox161501,34,927
Ox200101,35,908
Ox200201,36,1155
Ox200301,37,962
Ox200401,38,752
Ox200501,39,969
Ox200601,40,838
Ox200701,41,1095
Ox200801,42,1157
Ox200901,43,1015
Ox201001,44,790
Ox201101,45,830
Ox201301,46,1052
Ox201501,47,761
Ox201601,48,912
Ox201701,49,1082
Ox201801,50,1069
Ox201901,51,1059
Ox202001,52,801
Ox202101,53,619
Ox202201,54,1103
Ox202301,55,928
Ox202401,56,910
Ox202501,57,626
Ox202601,58,820
Ox202701,59,888
Ox202801,60,611
Ox202901,61,847
Ox203001,62,843
Ox203101,63,664
Ox203201,64,654
Ox203301,65,867
Ox203401,66,874
Ox203501,67,1018
Ox203601,68,616
Ox203701,69,617
Ox203801,70,1093
Ox220301,71,723
Ox220401,72,852
Ox220501,73,845
Ox220601,74,1174
Ox220701,75,757
Ox220801,76,743
Ox232502,77,849
Ox271001,78,694
Ox290101,79,1177
Ox290301,80,1066
Ox290401,81,892
Ox290501,82,846
Ox300101,83,639
Ox300201,84,1135
Ox300301,85,856
Ox300401,86,628
Ox300501,87,920
Ox300601,88,1038
Ox300701,89,834
Ox300801,90,839
Ox300901,91,1146
Ox301001,92,850
Ox301101,93,714
Ox301201,94,941
Ox301301,95,981
Ox301401,96,828
Ox301801,97,1148
Ox302001,98,653
Ox302101,99,1124
Ox302201,100,689
Ox302401,101,702
Ox302501,102,1185
Ox302601,103,929
Ox302701,104,803
Ox302901,105,936
Ox303001,106,822
Ox320101,107,1131
Ox320201,108,651
Ox320301,109,775
Ox320401,110,884
Ox320501,111,1113
Ox320601,112,1076
Ox320701,113,967
Ox320801,114,1020
Ox320901,115,798
Ox321001,116,922
Ox321101,117,1017
Ox321201,118,1023
Ox321301,119,1049
Ox321401,120,900
Ox321501,121,724
Ox321601,122,914
Ox321701,123,915
Ox321801,124,851
Ox321901,125,1163
Ox322001,126,895
Ox322101,127,1192
Ox322201,128,791
Ox322301,129,913
Ox322401,130,863
Ox322501,131,880
Ox322601,132,647
Ox322701,133,954
Ox322801,134,665
Ox323001,135,855
Ox323301,136,1159
Ox323401,137,806
Ox323501,138,1012
Ox330101,139,672
Ox330201,140,1011
Ox330301,141,1116
Ox330401,142,972
Ox330601,143,709
Ox330802,144,1027
Ox330901,145,781
Ox331001,146,636
Ox331101,147,1165
Ox331301,148,1123
Ox331401,149,1036
Ox331501,150,943
Ox331701,151,749
Ox331901,152,1119
Ox360101,153,622
Ox360201,154,704
Ox360301,155,971
Ox360401,156,933
Ox360501,157,1129
Ox360601,158,862
Ox360701,159,623
Ox360801,160,898
Ox360901,161,688
Ox361001,162,734
Ox361201,163,995
Ox361301,164,988
Ox361501,165,736
Ox361601,166,907
Ox361801,167,938
Ox361901,168,808
Ox362001,169,1090
Ox362101,170,899
Ox362201,171,1094
Ox362302,172,1166
Ox363901,173,1039
Ox364201,174,973
Ox370101,175,958
Ox370201,176,739
Ox380101,177,964
Ox380201,178,886
Ox380301,179,772
Ox380501,180,793
Ox380601,181,1193
Ox380801,182,691
Ox380901,183,629
Ox381001,184,1154
Ox381101,185,952
Ox381201,186,1149
Ox381401,187,939
Ox381501,188,718
Ox381601,189,997
